id	c_order	connections	languages	e_name	e_degree	e_major	e_period	e_grade	e_detail	e_activity
100004	1	"10"	"Ingles"	"Universidade Anhembi Morumbi"	"Formado"	"Publicidade em Markentig"	"1998-2003"	""	""	""
100004	2	"10"	"Ingles"	"Woshigton Alves Natel"	"Completo"	"2 grau"	"1996-1999"	""	""	""
100008	1	"201"	"Ingles | Espanhol | Portugues"	"Centro Universitario Positivo"	"Bacharel em Comercio Exterior"	"International Business"	"2009-2011"	""	""	""
100008	2	"201"	"Ingles | Espanhol | Portugues"	"Universidade Tecnologica Federal do Parana"	"Tecnico em Edificacoes"	"Civil Engineering Technology/Technician"	"1997-2000"	""	""	""
100042	1	"200"	""	"Faculdades Oswaldo Cruz"	"Especialista"	"Assuntos Regulatorios"	"2010-2012"	""	""	""
100042	2	"200"	""	"Faculdades Oswaldo Cruz"	"Farmaceutico"	"Farmacia"	"2005-2009"	""	""	"curriculo de farmaceutico generalista"
100045	1	"159"	""	"Academy of Art"	"BFA"	"Graphic Design"	""	""	""	""
100045	2	"159"	""	"Michigan State University"	"BA"	"Psychology Art"	""	""	""	""
100111	1	"183"	""	"Moi University"	"Bachelor of Technology (B.Tech.)"	"Light current (Telecommunication)"	""	""	""	""
100201	1	"112"	""	"UNIVERSIDAD CONTINENTAL"	"CONTADOR PUBLICO"	""	"2007-2011"	""	""	""
100231	1	"30"	""	"Florida Institute of Technology"	"M.S"	"Information Systems"	""	""	""	""
100231	2	"30"	""	"Athens State College"	"B.S"	"Business Administration"	""	""	""	""
100231	3	"30"	""	"Motlow State Community College"	"A.S"	"Business Administration; Systems Administration"	""	""	""	""
100282	1	"189"	""	"Universidad Complutenxe"	"Licenciada"	"Ciencias de la Informacion"	""	""	""	""
100289	1	"199"	""	"Universidad Particular San Gregorio de Portoviejo"	"ING. COMERCIO EXTERIOR"	"COMERCIO EXTERIOR"	"2006-2012"	""	"Tramites aduaneros ECUAPASSl"	""
100289	2	"199"	""	"UNiversidad Tecnologica Empresarial de Guayaquil UTEG"	""	""	""	""	""	""
100311	1	"500+"	""	"FAES"	"Programa de Visitantes Latinoamericanos"	""	"2011-2011"	""	""	""
100311	2	"500+"	""	"Georgetown University - The McDonough School of Business"	"Global Competitivenes Leadership Programm"	""	"2010-2010"	""	""	""
100311	3	"500+"	""	"USA Departament of State"	"International Visitors Programm"	"A Free Trade Economy in a Democracy"	"2003-2003"	""	""	""
