id	c_order	connections	languages	e_name	e_degree	e_major	e_period	e_grade	e_detail	e_activity
200004	1	"31"	""	"ISCEE"	"Lic. Contabilidade e Administracao"	"Controlo e Administracao Financeira"	""	""	""	""
200004	2	"31"	""	"Universidad Complutense de Madrid - ISEAD"	"Master's degree"	"Direccion Financiera"	""	""	""	""
200004	3	"31"	""	"Universidad Politecnica de Madrid"	"Master's degree"	"Sistemas Aeroportuarios"	""	""	""	""
200005	1	"146"	""	"Robert Morris University"	"Master's of Science"	"Engineering Management"	"2001-2003"	""	""	""
200005	2	"146"	""	"The Ohio State University"	"Bachelor's of Science"	"Mechanical Engineering"	"1979-1982"	""	""	""
200013	1	"494"	""	"Universidad de Chile"	"Magister"	"Control de Gestion"	"2010-2012"	""	""	""
200013	2	"494"	""	"Fundacion Les Heures U. Barcelona - Chile"	"Diplomado"	"Coaching Organizacional"	"2000-2002"	""	""	""
200013	3	"494"	""	"Pontificia Universidad Catolica de Chile"	"Psicologo"	"Psicologia Organizacional"	"1992-1996"	""	""	""
200018	1	"500+"	"Espanol-(Competencia bilingue o nativa) | Ingles-(Competencia profesional completa)"	"Universidad del Pacifico - Peru"	"Master of Business Administration (MBA)"	"Administracion"	"2009-2013"	""	""	""
200018	2	"500+"	"Espanol-(Competencia bilingue o nativa) | Ingles-(Competencia profesional completa)"	"Universidad Nacional Federico Villarreal"	"Abogado"	"Derecho"	"2000-2004"	""	""	""
200018	3	"500+"	"Espanol-(Competencia bilingue o nativa) | Ingles-(Competencia profesional completa)"	"Colegio de Abogados de Lima"	"Diplomado"	"Derecho Administrativo y Contencioso Administrativo"	"2008-2008"	""	""	""
200018	4	"500+"	"Espanol-(Competencia bilingue o nativa) | Ingles-(Competencia profesional completa)"	"Colegio de Abogados de Lima"	"Diplomado"	"Derecho Laboral y Procesal Laboral"	"2008-2008"	""	""	""
200018	5	"500+"	"Espanol-(Competencia bilingue o nativa) | Ingles-(Competencia profesional completa)"	"EGACAL"	"Diplomado"	"Contrataciones y Adquisiciones del Estado"	"2007-2007"	""	""	""
200018	6	"500+"	"Espanol-(Competencia bilingue o nativa) | Ingles-(Competencia profesional completa)"	"EGACAL"	"Diplomado"	"Tributacion"	"2007-2007"	""	""	""
200018	7	"500+"	"Espanol-(Competencia bilingue o nativa) | Ingles-(Competencia profesional completa)"	"Salesiano"	""	""	""	""	""	""
200019	1	"56"	""	"Virginia Polytechnic Institute and State University (Virginia Tech)"	"B.S"	"Mechanical Engineering"	"2003-2007"	""	""	""
200028	1	"144"	""	"Universidade de Aveiro"	"Graduated in Electronic and Telecommunication Engineering"	"Electronics Telecommunications Computer Networks Digital Systems Radio"	"1995-2001"	""	""	""
200038	1	"458"	"Ingles-(Competencia basica)"	"Puertos del Estado de Espana"	"Gestion Portuaria en la Autoridad Portuaria de Valencia - Espana"	"Pasantia para Tecnicos Portuarios Iberoamericanos"	"2009-2009"	""	"Pasantia en el Organismo Publico Espanol Puertos de Estado y la Autoridad Portuaria de Valencia con el objeto de ser capacitado en las actuales tecnicas en proyectos portuarios asi como de tecnicas de explotacion y direccion de los puertos en E"	""
200038	2	"458"	"Ingles-(Competencia basica)"	"Universidad Nacional Federico Villarreal"	"DOCTORADO"	"ADMINISTRACION"	"2007-2009"	""	"Con estudios de Maestria en Economia y Gestion Empresarial en la Pontificia Universidad Catolica del Peru y Estudios de PostGrado en el Centro de Altos Estudios Nacionales - CAEN."	""
200038	3	"458"	"Ingles-(Competencia basica)"	"UNIVERSIDAD INTERNACIONAL MENENDEZ PELAYO"	"INNOVACION EN CLUSTER PORTUARIO"	"Valencia - Espana"	"2008-2008"	""	""	""
200038	4	"458"	"Ingles-(Competencia basica)"	"Universidad Pontificia Comillas de Madrid"	"Planificacion Estrategica y Cuadro de Mando Integral"	""	"2008-2008"	""	""	""
200038	5	"458"	"Ingles-(Competencia basica)"	"UNIVERSITAT POLITECNICA DE CATALUNYA"	"POSTGRADO DE GESTION PORTUARIA (Barcelona - Espana)"	"Barcelona - Espana"	"2007-2007"	""	""	""
200038	6	"458"	"Ingles-(Competencia basica)"	"Pontificia Universidad Catolica del Peru"	"Maestria"	"Economia y Gestion Empresarial"	"1993-1994"	""	""	""
200038	7	"458"	"Ingles-(Competencia basica)"	"Escuela Superior de Guerra Naval"	"Magister en Estrategia Maritima"	""	"1993-1993"	""	""	""
200051	1	"164"	"Spanish-(Native or bilingual proficiency) | English-(Full professional proficiency)"	"Escuela de Derecho Universidad de Chile"	"Bachelor of Laws (LL.B.)"	"Law"	"1983-1987"	""	""	"Chairman of the Board/ Bradford School/ Vitacura/ Santiago (www.bradfordschool.cl)Club Aereo de Santiago/ member"
200060	1	"96"	"Ingles-(Competencia profesional completa) | Espanol-(Competencia bilingue o nativa) | Frances-(Competencia basica profesional)"	"ENSPL - Francia"	"Experto en Exploracion"	"geologia"	"1980-1981"	""	""	""
